trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,1.0,2.0,0.0,-0.01,0.01,2.0,0.0,-0.99,0.99
1,2.0,2.0,1.0,0.9938,0.006200000000000001,1.0,0.0,-0.6138,0.6138
2,1.0,1.0,1.0,0.6161559999999999,0.383844,1.0,1.0,0.619444,0.380556
3,2.0,2.0,1.0,0.38201672,0.61798328,2.0,1.0,0.38405528,0.61594472
4,1.0,2.0,0.0,-0.7631496336,0.7631496336,1.0,1.0,0.23811427360000004,0.7618857264
5,1.0,1.0,1.0,0.526847227168,0.47315277283199997,2.0,0.0,-0.852369150368,0.852369150368
6,2.0,2.0,1.0,0.32664528084416,0.67335471915584,1.0,0.0,-0.5284688732281599,0.5284688732281599
7,2.0,2.0,1.0,0.20252007412337925,0.7974799258766208,1.0,0.0,-0.32765070140145913,0.32765070140145913
8,2.0,2.0,1.0,0.12556244595649513,0.8744375540435049,1.0,0.0,-0.20314343486890465,0.20314343486890465
9,2.0,2.0,1.0,0.07784871649302694,0.9221512835069731,1.0,0.0,-0.1259489296187209,0.1259489296187209
10,1.0,2.0,0.0,-0.9517337957743233,0.9517337957743233,2.0,0.0,-0.07808833636360696,0.07808833636360696
11,2.0,1.0,0.0,-0.5900749533800804,0.5900749533800804,1.0,0.0,-0.04841476854543632,0.04841476854543632
12,2.0,2.0,1.0,0.6341535289043502,0.36584647109564983,1.0,0.0,-0.03001715649817052,0.03001715649817052
13,2.0,2.0,1.0,0.39317518792069706,0.6068248120793029,1.0,0.0,-0.01861063702886572,0.01861063702886572
14,2.0,2.0,1.0,0.24376861651083215,0.7562313834891679,1.0,0.0,-0.011538594957896747,0.011538594957896747
15,2.0,2.0,1.0,0.1511365422367159,0.8488634577632841,1.0,0.0,-0.007153928873895983,0.007153928873895983
16,1.0,1.0,1.0,0.09370465618676382,0.9062953438132362,2.0,0.0,-0.004435435901815509,0.004435435901815509
17,1.0,1.0,1.0,0.058096886835793615,0.9419031131642064,1.0,1.0,0.9972500297408744,0.002749970259125616
18,2.0,2.0,1.0,0.03602006983819206,0.9639799301618079,1.0,0.0,-0.38170498156065785,0.38170498156065785
19,1.0,1.0,1.0,0.022332443299679094,0.9776675567003209,2.0,0.0,-0.23665708856760787,0.23665708856760787
20,2.0,2.0,1.0,0.013846114845801005,0.986153885154199,1.0,0.0,-0.1467273949119169,0.1467273949119169
21,2.0,1.0,0.0,-0.9914154087956034,0.9914154087956034,1.0,0.0,-0.09097098484538847,0.09097098484538847
22,2.0,2.0,1.0,0.38532244654672587,0.6146775534532741,1.0,0.0,-0.05640201060414085,0.05640201060414085
23,1.0,1.0,1.0,0.23889991685897005,0.76110008314103,2.0,0.0,-0.03496924657456733,0.03496924657456733
24,2.0,2.0,1.0,0.14811794845256143,0.8518820515474386,1.0,0.0,-0.02168093287623174,0.02168093287623174
25,2.0,1.0,0.0,-0.9081668719594119,0.9081668719594119,2.0,1.0,0.9865578216167363,0.013442178383263679
26,2.0,2.0,1.0,0.43693653938516464,0.5630634606148354,2.0,1.0,0.6116658494023766,0.3883341505976235
27,2.0,2.0,1.0,0.27090065441880207,0.7290993455811979,1.0,0.0,-0.6207671733705266,0.6207671733705266
