trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,1.0,1.0,1.0,0.99,0.01,1.0,1.0,0.010000000000000009,0.99
1,1.0,1.0,1.0,0.6138,0.3862,1.0,1.0,0.006199999999999983,0.9938
2,2.0,2.0,1.0,0.380556,0.619444,1.0,0.0,-0.996156,0.996156
3,1.0,1.0,1.0,0.23594472,0.76405528,1.0,1.0,0.38238328,0.61761672
4,2.0,2.0,1.0,0.14628572640000004,0.8537142736,1.0,0.0,-0.7629223664,0.7629223664
5,1.0,2.0,0.0,-0.9093028496319999,0.9093028496319999,1.0,1.0,0.5269881328320001,0.473011867168
6,1.0,1.0,1.0,0.43623223322816007,0.5637677667718399,1.0,1.0,0.32673264235584,0.67326735764416
7,2.0,1.0,0.0,-0.7295360153985407,0.7295360153985407,2.0,1.0,0.20257423826062082,0.7974257617393792
8,1.0,1.0,1.0,0.5476876704529048,0.45231232954709527,1.0,1.0,0.12559602772158485,0.8744039722784152
9,1.0,1.0,1.0,0.33956635568080085,0.6604336443191992,1.0,1.0,0.07786953718738265,0.9221304628126173
10,2.0,2.0,1.0,0.21053114052209654,0.7894688594779035,2.0,1.0,0.04827911305617727,0.9517208869438227
11,1.0,1.0,1.0,0.1305293071236998,0.8694706928763002,1.0,1.0,0.02993305009482994,0.9700669499051701
12,2.0,2.0,1.0,0.08092817041669387,0.9190718295833061,2.0,1.0,0.01855849105879459,0.9814415089412054
13,1.0,1.0,1.0,0.05017546565835018,0.9498245343416498,2.0,0.0,-0.9884937355435474,0.9884937355435474
14,1.0,1.0,1.0,0.031108788708177126,0.9688912112918229,2.0,0.0,-0.6128661160369994,0.6128661160369994
15,2.0,1.0,0.0,-0.9807125510009301,0.9807125510009301,1.0,0.0,-0.3799769919429396,0.3799769919429396
16,1.0,2.0,0.0,-0.6080417816205768,0.6080417816205768,1.0,1.0,0.7644142649953775,0.23558573500462254
17,1.0,1.0,1.0,0.6230140953952424,0.37698590460475756,2.0,0.0,-0.526063155702866,0.526063155702866
18,2.0,2.0,1.0,0.38626873914505033,0.6137312608549497,2.0,1.0,0.6738408434642231,0.3261591565357769
19,2.0,1.0,0.0,-0.7605133817300688,0.7605133817300688,2.0,1.0,0.41778132294781833,0.5822186770521817
20,2.0,2.0,1.0,0.5284817033273574,0.4715182966726426,2.0,1.0,0.2590244202276474,0.7409755797723526
21,1.0,1.0,1.0,0.3276586560629615,0.6723413439370385,1.0,1.0,0.16059514054114143,0.8394048594588586
22,1.0,1.0,1.0,0.20314836675903614,0.7968516332409639,1.0,1.0,0.09956898713550766,0.9004310128644923
23,1.0,1.0,1.0,0.12595198739060243,0.8740480126093976,1.0,1.0,0.061732772024014726,0.9382672279759853
24,1.0,1.0,1.0,0.07809023218217348,0.9219097678178265,1.0,1.0,0.03827431865488917,0.9617256813451108
25,2.0,1.0,0.0,-0.9515840560470524,0.9515840560470524,1.0,0.0,-0.9762699224339687,0.9762699224339687
26,2.0,2.0,1.0,0.4100178852508275,0.5899821147491725,2.0,1.0,0.3947126480909394,0.6052873519090606
27,2.0,2.0,1.0,0.254211088855513,0.745788911144487,2.0,1.0,0.24472184181638246,0.7552781581836175
28,2.0,2.0,1.0,0.15761087509041805,0.842389124909582,2.0,1.0,0.15172754192615712,0.8482724580738429
29,1.0,1.0,1.0,0.09771874255605917,0.9022812574439408,1.0,1.0,0.09407107599421738,0.9059289240057826
30,2.0,2.0,1.0,0.06058562038475668,0.9394143796152433,2.0,1.0,0.0583240671164148,0.9416759328835852
31,2.0,2.0,1.0,0.03756308463854918,0.9624369153614508,2.0,1.0,0.03616092161217721,0.9638390783878228
32,2.0,2.0,1.0,0.023289112475900486,0.9767108875240995,2.0,1.0,0.02241977139954987,0.9775802286004501
33,1.0,1.0,1.0,0.01443924973505828,0.9855607502649417,1.0,1.0,0.0139002582677209,0.9860997417322791
34,2.0,2.0,1.0,0.008952334835736098,0.9910476651642639,2.0,1.0,0.008618160125986929,0.9913818398740131
35,2.0,2.0,1.0,0.005550447598156372,0.9944495524018436,2.0,1.0,0.005343259278111856,0.9946567407218881
36,1.0,1.0,1.0,0.003441277510856988,0.996558722489143,2.0,0.0,-0.9966871792475707,0.9966871792475707
37,2.0,2.0,1.0,0.0021335920567313593,0.9978664079432686,2.0,1.0,0.38205394886650623,0.6179460511334938
38,1.0,1.0,1.0,0.001322827075173394,0.9986771729248266,1.0,1.0,0.2368734482972339,0.7631265517027661
39,2.0,2.0,1.0,0.0008201527866075198,0.9991798472133925,1.0,0.0,-0.853138462055715,0.853138462055715
40,2.0,2.0,1.0,0.0005084947276966512,0.9994915052723033,2.0,1.0,0.47105415352545665,0.5289458464745433
41,1.0,1.0,1.0,0.00031526673117188153,0.9996847332688281,1.0,1.0,0.2920535751857831,0.7079464248142169
42,2.0,2.0,1.0,0.00019546537332659764,0.9998045346266734,2.0,1.0,0.1810732166151855,0.8189267833848145
43,2.0,2.0,1.0,0.00012118853146247943,0.9998788114685375,2.0,1.0,0.11226539430141502,0.887734605698585
44,2.0,2.0,1.0,7.513688950677722e-05,0.9999248631104932,1.0,0.0,-0.9303954555331226,0.9303954555331226
45,2.0,2.0,1.0,4.65848714942263e-05,0.9999534151285058,2.0,1.0,0.42315481756946394,0.5768451824305361
46,2.0,2.0,1.0,2.8882620326409203e-05,0.9999711173796736,2.0,1.0,0.2623559868930676,0.7376440131069324
47,1.0,1.0,1.0,1.7907224602375926e-05,0.9999820927753976,1.0,1.0,0.1626607118737019,0.8373392881262981
48,1.0,2.0,0.0,-0.9999888975207465,0.9999888975207465,2.0,0.0,-0.8991503586383048,0.8991503586383048
49,0.0,0.0,0.0,0.0,0.6199931164628628,0.0,0.0,0.0,0.557473222355749
