trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,2.0,1.0,0.0,-0.01,0.01,1.0,0.0,-0.99,0.99
1,2.0,2.0,1.0,0.9938,0.006200000000000001,1.0,0.0,-0.6138,0.6138
2,2.0,2.0,1.0,0.6161559999999999,0.383844,2.0,1.0,0.619444,0.380556
3,2.0,1.0,0.0,-0.61798328,0.61798328,1.0,0.0,-0.61594472,0.61594472
4,1.0,2.0,0.0,-0.3831496336,0.3831496336,2.0,0.0,-0.38188572639999996,0.38188572639999996
5,1.0,2.0,0.0,-0.237552772832,0.237552772832,2.0,0.0,-0.23676915036799998,0.23676915036799998
6,1.0,1.0,1.0,0.85271728084416,0.14728271915584001,1.0,1.0,0.8532031267718401,0.14679687322815999
7,2.0,2.0,1.0,0.5286847141233793,0.4713152858766208,1.0,0.0,-0.47101406140145924,0.47101406140145924
8,1.0,1.0,1.0,0.32778452275649506,0.6722154772435049,1.0,1.0,0.7079712819310953,0.29202871806890474
9,2.0,1.0,0.0,-0.7967735958909731,0.7967735958909731,2.0,1.0,0.43894219479727914,0.5610578052027209
10,2.0,2.0,1.0,0.5060003705475967,0.4939996294524033,1.0,0.0,-0.727855839225687,0.727855839225687
11,2.0,1.0,0.0,-0.68627977026049,0.68627977026049,1.0,0.0,-0.45127062031992593,0.45127062031992593
12,1.0,1.0,1.0,0.5745065424384962,0.4254934575615038,2.0,0.0,-0.2797877845983541,0.2797877845983541
13,1.0,1.0,1.0,0.3561940563118676,0.6438059436881324,1.0,1.0,0.8265315735490204,0.17346842645097954
14,2.0,2.0,1.0,0.22084031491335798,0.779159685086642,1.0,0.0,-0.4875504243996073,0.4875504243996073
15,2.0,2.0,1.0,0.13692099524628198,0.863079004753718,1.0,0.0,-0.3022812631277565,0.3022812631277565
16,2.0,2.0,1.0,0.08489101705269486,0.9151089829473051,1.0,0.0,-0.18741438313920902,0.18741438313920902
17,2.0,2.0,1.0,0.05263243057267086,0.9473675694273291,1.0,0.0,-0.11619691754630959,0.11619691754630959
18,2.0,2.0,1.0,0.03263210695505592,0.9673678930449441,2.0,1.0,0.9279579111212881,0.07204208887871194
19,1.0,1.0,1.0,0.020231906312134673,0.9797680936878653,2.0,0.0,-0.4246660951048014,0.4246660951048014
20,1.0,1.0,1.0,0.012543781913523455,0.9874562180864765,2.0,0.0,-0.26329297896497683,0.26329297896497683
21,1.0,1.0,1.0,0.007777144786384582,0.9922228552136154,1.0,1.0,0.8367583530417144,0.16324164695828564
22,2.0,2.0,1.0,0.004821829767558405,0.9951781702324416,2.0,1.0,0.5187901788858629,0.4812098211141371
23,2.0,2.0,1.0,0.0029895344558862336,0.9970104655441138,1.0,0.0,-0.678350089090765,0.678350089090765
24,2.0,2.0,1.0,0.0018535113626494404,0.9981464886373506,1.0,0.0,-0.4205770552362743,0.4205770552362743
25,1.0,1.0,1.0,0.0011491770448426308,0.9988508229551574,2.0,0.0,-0.26075777424649005,0.26075777424649005
26,1.0,1.0,1.0,0.0007124897678024711,0.9992875102321975,2.0,0.0,-0.16166982003282382,0.16166982003282382
27,2.0,2.0,1.0,0.00044174365603755206,0.9995582563439624,1.0,0.0,-0.10023528842035076,0.10023528842035076
28,2.0,2.0,1.0,0.0002738810667433089,0.9997261189332567,1.0,0.0,-0.06214587882061747,0.06214587882061747
29,1.0,1.0,1.0,0.00016980626138085597,0.9998301937386191,2.0,0.0,-0.038530444868782834,0.038530444868782834
30,2.0,2.0,1.0,0.0001052798820561085,0.9998947201179439,1.0,0.0,-0.023888875818645357,0.023888875818645357
31,2.0,2.0,1.0,6.527352687479837e-05,0.9999347264731252,1.0,0.0,-0.014811103007560122,0.014811103007560122
32,1.0,2.0,0.0,-0.9999595304133376,0.9999595304133376,2.0,0.0,-0.009182883864687276,0.009182883864687276
33,1.0,1.0,1.0,0.3800250911437306,0.6199749088562694,2.0,0.0,-0.005693387996106111,0.005693387996106111
34,1.0,1.0,1.0,0.23561555650911292,0.7643844434908871,2.0,0.0,-0.003529900557585789,0.003529900557585789
35,2.0,2.0,1.0,0.14608164503565002,0.85391835496435,2.0,1.0,0.9978114616542968,0.0021885383457031895
36,2.0,2.0,1.0,0.09057061992210302,0.909429380077897,1.0,0.0,-0.381356893774336,0.381356893774336
37,1.0,1.0,1.0,0.05615378435170393,0.9438462156482961,2.0,0.0,-0.23644127414008834,0.23644127414008834
38,1.0,1.0,1.0,0.03481534629805638,0.9651846537019436,2.0,0.0,-0.1465935899668548,0.1465935899668548
39,2.0,2.0,1.0,0.021585514704794972,0.978414485295205,2.0,1.0,0.90911197422055,0.09088802577944996
40,2.0,2.0,1.0,0.013383019116972927,0.9866169808830271,2.0,1.0,0.563649424016741,0.436350575983259
41,2.0,2.0,1.0,0.008297471852523164,0.9917025281474768,2.0,1.0,0.3494626428903794,0.6505373571096206
42,1.0,1.0,1.0,0.005144432548564337,0.9948555674514357,2.0,0.0,-0.7833331614079647,0.7833331614079647
43,1.0,1.0,1.0,0.003189548180109858,0.9968104518198901,2.0,0.0,-0.4856665600729381,0.4856665600729381
44,2.0,2.0,1.0,0.0019775198716681652,0.9980224801283318,1.0,0.0,-0.30111326724522164,0.30111326724522164
45,1.0,1.0,1.0,0.001226062320434318,0.9987739376795657,2.0,0.0,-0.18669022569203741,0.18669022569203741
46,2.0,2.0,1.0,0.0007601586386692949,0.9992398413613307,1.0,0.0,-0.1157479399290632,0.1157479399290632
47,2.0,1.0,0.0,-0.9995287016440251,0.9995287016440251,1.0,0.0,-0.07176372275601918,0.07176372275601918
48,2.0,1.0,0.0,-0.6197077950192955,0.6197077950192955,1.0,0.0,-0.04449350810873189,0.04449350810873189
