trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,1.0,1.0,1.0,0.99,0.01,1.0,1.0,0.010000000000000009,0.99
1,1.0,1.0,1.0,0.6138,0.3862,1.0,1.0,0.006199999999999983,0.9938
2,1.0,1.0,1.0,0.380556,0.619444,1.0,1.0,0.0038439999999999586,0.996156
3,1.0,1.0,1.0,0.23594472,0.76405528,1.0,1.0,0.0023832799999999876,0.99761672
4,2.0,2.0,1.0,0.14628572640000004,0.8537142736,2.0,1.0,0.0014776335999999723,0.9985223664
5,1.0,1.0,1.0,0.09069715036800008,0.9093028496319999,1.0,1.0,0.0009161328319999829,0.999083867168
6,2.0,2.0,1.0,0.05623223322816007,0.9437677667718399,2.0,1.0,0.0005680023558399805,0.99943199764416
7,1.0,1.0,1.0,0.03486398460145923,0.9651360153985408,1.0,1.0,0.00035216146062078124,0.9996478385393792
8,1.0,1.0,1.0,0.02161567045290469,0.9783843295470953,1.0,1.0,0.00021834010558485772,0.9997816598944151
9,2.0,1.0,0.0,-0.986598284319199,0.986598284319199,1.0,0.0,-0.9998646291345374,0.9998646291345374
10,2.0,1.0,0.0,-0.6116909362779034,0.6116909362779034,2.0,1.0,0.3800839299365868,0.6199160700634132
11,1.0,1.0,1.0,0.6207516195076999,0.3792483804923001,1.0,1.0,0.2356520365606838,0.7643479634393162
12,2.0,2.0,1.0,0.384866004094774,0.615133995905226,2.0,1.0,0.14610426266762389,0.8538957373323761
13,2.0,2.0,1.0,0.23861692253875988,0.7613830774612401,2.0,1.0,0.09058464285392676,0.9094153571460732
14,1.0,1.0,1.0,0.1479424919740311,0.8520575080259689,1.0,1.0,0.05616247856943457,0.9438375214305654
15,1.0,1.0,1.0,0.09172434502389926,0.9082756549761007,2.0,0.0,-0.9651792632869506,0.9651792632869506
16,1.0,1.0,1.0,0.05686909391481754,0.9431309060851825,1.0,1.0,0.40158885676209066,0.5984111432379093
17,2.0,2.0,1.0,0.035258838227186895,0.9647411617728131,2.0,1.0,0.24898509119249623,0.7510149088075038
18,1.0,1.0,1.0,0.021860479700855917,0.9781395202991441,1.0,1.0,0.15437075653934762,0.8456292434606524
19,2.0,2.0,1.0,0.013553497414530713,0.9864465025854693,2.0,1.0,0.09570986905439549,0.9042901309456045
20,1.0,1.0,1.0,0.008403168397009053,0.991596831602991,1.0,1.0,0.05934011881372525,0.9406598811862747
21,1.0,1.0,1.0,0.0052099644061456285,0.9947900355938544,1.0,1.0,0.036790873664509616,0.9632091263354904
22,2.0,2.0,1.0,0.003230177931810241,0.9967698220681898,2.0,1.0,0.022810341671995915,0.9771896583280041
23,2.0,2.0,1.0,0.002002710317722367,0.9979972896822776,2.0,1.0,0.014142411836637447,0.9858575881633626
24,2.0,2.0,1.0,0.0012416803969879098,0.9987583196030121,2.0,1.0,0.00876829533871526,0.9912317046612847
25,1.0,1.0,1.0,0.0007698418461324907,0.9992301581538675,1.0,1.0,0.0054363431100035164,0.9945636568899965
26,1.0,1.0,1.0,0.0004773019446021598,0.9995226980553978,1.0,1.0,0.0033705327282022024,0.9966294672717978
27,2.0,2.0,1.0,0.00029592720565330133,0.9997040727943467,2.0,1.0,0.0020897302914854032,0.9979102697085146
28,2.0,2.0,1.0,0.00018347486750502906,0.999816525132495,2.0,1.0,0.0012956327807209789,0.998704367219279
29,2.0,2.0,1.0,0.00011375441785310692,0.9998862455821469,2.0,1.0,0.0008032923240469669,0.999196707675953
30,1.0,1.0,1.0,7.052773906890408e-05,0.9999294722609311,1.0,1.0,0.0004980412409091306,0.9995019587590909
31,2.0,2.0,1.0,4.372719822276494e-05,0.9999562728017772,2.0,1.0,0.00030878556936364543,0.9996912144306364
32,1.0,1.0,1.0,2.7110862898083177e-05,0.9999728891371019,1.0,1.0,0.00019144705300544462,0.9998085529469946
33,2.0,2.0,1.0,1.680873499676494e-05,0.9999831912650032,2.0,1.0,0.00011869717286339121,0.9998813028271366
34,2.0,1.0,0.0,-0.999989578584302,0.999989578584302,1.0,0.0,-0.9999264077528247,0.9999264077528247
35,1.0,1.0,1.0,0.38000646127773274,0.6199935387222673,1.0,1.0,0.38004562719324864,0.6199543728067514
36,1.0,2.0,0.0,-0.7643959940078057,0.7643959940078057,2.0,0.0,-0.7643717111401859,0.7643717111401859
37,2.0,2.0,1.0,0.5260744837151605,0.47392551628483953,2.0,1.0,0.5260895390930848,0.47391046090691524
38,2.0,2.0,1.0,0.32616617990339947,0.6738338200966005,1.0,0.0,-0.6738244857622875,0.6738244857622875
39,1.0,1.0,1.0,0.20222303154010768,0.7977769684598923,1.0,1.0,0.5822288188273818,0.41777118117261824
40,2.0,2.0,1.0,0.1253782795548668,0.8746217204451332,2.0,1.0,0.3609818676729767,0.6390181323270233
41,2.0,2.0,1.0,0.07773453332401736,0.9222654666759826,1.0,0.0,-0.7761912420427545,0.7761912420427545
42,1.0,1.0,1.0,0.048195410660890725,0.9518045893391093,1.0,1.0,0.5187614299334922,0.4812385700665078
43,1.0,1.0,1.0,0.02988115460975227,0.9701188453902477,1.0,1.0,0.3216320865587652,0.6783679134412348
44,2.0,2.0,1.0,0.018526315858046427,0.9814736841419536,2.0,1.0,0.19941189366643441,0.8005881063335656
45,1.0,1.0,1.0,0.01148631583198878,0.9885136841680112,2.0,0.0,-0.8763646259268106,0.8763646259268106
46,1.0,1.0,1.0,0.0071215158158330905,0.9928784841841669,2.0,0.0,-0.5433460680746226,0.5433460680746226
47,2.0,2.0,1.0,0.004415339805816543,0.9955846601941835,2.0,1.0,0.663125437793734,0.336874562206266
48,2.0,2.0,1.0,0.0027375106796062587,0.9972624893203937,2.0,1.0,0.41113777143211516,0.5888622285678848
49,0.0,0.0,0.0,0.0,0.9983027433786441,0.0,0.0,0.0,0.7450945817120886
