trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,0.0,2.0,0.0,-0.01,0.01,0.0,1.0,0.010000000000000009,0.99
1,1.0,2.0,0.0,-0.006200000000000001,0.006200000000000001,1.0,1.0,0.006199999999999983,0.9938
2,1.0,1.0,1.0,0.996156,0.003844,1.0,1.0,0.0038439999999999586,0.996156
3,0.0,1.0,0.0,-0.38238328000000005,0.38238328000000005,1.0,0.0,-0.99761672,0.99761672
4,1.0,2.0,0.0,-0.23707763360000003,0.23707763360000003,1.0,1.0,0.3814776336,0.6185223664
5,0.0,1.0,0.0,-0.14698813283200002,0.14698813283200002,1.0,0.0,-0.763483867168,0.763483867168
6,1.0,1.0,1.0,0.9088673576441599,0.09113264235584001,1.0,1.0,0.52664000235584,0.47335999764416
7,1.0,1.0,1.0,0.5634977617393793,0.4365022382606208,1.0,1.0,0.3265168014606208,0.6734831985393792
8,1.0,2.0,0.0,-0.6506313877215849,0.6506313877215849,1.0,1.0,0.2024404169055849,0.7975595830944151
9,0.0,2.0,0.0,-0.4033914603873826,0.4033914603873826,0.0,1.0,0.12551305848146266,0.8744869415185373
10,0.0,1.0,0.0,-0.2501027054401772,0.2501027054401772,0.0,1.0,0.07781809625850689,0.9221819037414931
11,0.0,2.0,0.0,-0.15506367737290988,0.15506367737290988,0.0,1.0,0.048247219680274234,0.9517527803197258
12,1.0,1.0,1.0,0.9038605200287959,0.09613947997120412,1.0,1.0,0.029913276201769978,0.97008672379823
13,0.0,1.0,0.0,-0.43960647758214655,0.43960647758214655,0.0,1.0,0.018546231245097355,0.9814537687549026
14,1.0,1.0,1.0,0.7274439838990692,0.27255601610093083,1.0,1.0,0.011498663371960371,0.9885013366280396
15,0.0,2.0,0.0,-0.5489847299825772,0.5489847299825772,0.0,1.0,0.00712917129061541,0.9928708287093846
16,1.0,1.0,1.0,0.6596294674108021,0.34037053258919786,1.0,1.0,0.004420086200181528,0.9955799137998185
17,1.0,1.0,1.0,0.4089702697946973,0.5910297302053027,0.0,0.0,-0.9972595465558874,0.9972595465558874
18,1.0,1.0,1.0,0.2535615672727123,0.7464384327272877,1.0,1.0,0.3816990811353498,0.6183009188646502
19,0.0,1.0,0.0,-0.8427918282909184,0.8427918282909184,0.0,1.0,0.23665343030391683,0.7633465696960832
20,1.0,1.0,1.0,0.4774690664596306,0.5225309335403694,1.0,1.0,0.14672512678842842,0.8532748732115716
21,0.0,1.0,0.0,-0.7039691787950291,0.7039691787950291,0.0,1.0,0.0909695786088256,0.9090304213911744
22,0.0,1.0,0.0,-0.436460890852918,0.436460890852918,0.0,1.0,0.05640113873747188,0.9435988612625281
23,1.0,1.0,1.0,0.7293942476711909,0.2706057523288091,0.0,0.0,-0.9650312939827674,0.9650312939827674
24,0.0,2.0,0.0,-0.5477755664438617,0.5477755664438617,1.0,0.0,-0.5983194022693158,0.5983194022693158
25,0.0,2.0,0.0,-0.33962085119519425,0.33962085119519425,0.0,1.0,0.6290419705930242,0.37095802940697575
