trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,1.0,1.0,1.0,0.99,0.01,1.0,1.0,0.010000000000000009,0.99
1,2.0,2.0,1.0,0.6138,0.3862,2.0,1.0,0.006199999999999983,0.9938
2,1.0,1.0,1.0,0.380556,0.619444,1.0,1.0,0.005743999999999971,0.994256
3,1.0,2.0,0.0,-0.76405528,0.76405528,2.0,0.0,-0.9948680533333333,0.9948680533333333
4,1.0,2.0,0.0,-0.4737142736,0.4737142736,1.0,1.0,0.38481884693333335,0.6151811530666667
5,2.0,2.0,1.0,0.706297150368,0.293702849632,2.0,1.0,0.0,1.0
6,2.0,2.0,1.0,0.43790423322815997,0.56209576677184,2.0,1.0,0.06864913226666669,0.9313508677333333
7,2.0,2.0,1.0,0.2715006246014592,0.7284993753985408,2.0,1.0,0.04256246200533331,0.9574375379946667
8,1.0,1.0,1.0,0.16833038725290472,0.8316696127470953,1.0,1.0,0.04921456292197335,0.9507854370780267
9,1.0,1.0,1.0,0.10436484009680091,0.8956351599031991,1.0,1.0,0.04488968284453598,0.955110317155464
10,1.0,1.0,1.0,0.06470620086001655,0.9352937991399835,1.0,1.0,0.04466298388292722,0.9553370161170728
11,1.0,1.0,1.0,0.04011784453321021,0.9598821554667898,2.0,0.0,-0.9568016050099272,0.9568016050099272
12,1.0,1.0,1.0,0.024873063610590385,0.9751269363894096,1.0,1.0,0.4223406109463981,0.5776593890536019
13,1.0,1.0,1.0,0.015421299438566072,0.9845787005614339,2.0,0.0,-1.0,1.0
14,1.0,1.0,1.0,0.009561205651910987,0.990438794348089,1.0,1.0,0.4605294731041363,0.5394705268958637
15,1.0,1.0,1.0,0.005927947504184794,0.9940720524958152,1.0,1.0,0.0,1.0
16,2.0,2.0,1.0,0.003675327452594579,0.9963246725474054,2.0,1.0,0.09924638103512773,0.9007536189648723
17,2.0,2.0,1.0,0.002278703020608619,0.9977212969793914,2.0,1.0,0.06153275624177923,0.9384672437582208
18,1.0,1.0,1.0,0.001412795872777317,0.9985872041272227,1.0,1.0,0.07376873228584335,0.9262312677141566
19,2.0,2.0,1.0,0.0008759334411219122,0.9991240665588781,2.0,1.0,0.06788840626426329,0.9321115937357367
20,2.0,2.0,1.0,0.0005430787334955722,0.9994569212665044,2.0,1.0,0.06872132423903266,0.9312786757609673
21,2.0,2.0,1.0,0.00033670881476721704,0.9996632911852328,2.0,1.0,0.06717635853336223,0.9328236414666378
22,1.0,1.0,1.0,0.00020875946515563903,0.9997912405348444,1.0,1.0,0.0665764408101156,0.9334235591898844
23,1.0,1.0,1.0,0.0001294308683964518,0.9998705691316035,1.0,1.0,0.06569453927352853,0.9343054607264715
24,2.0,2.0,1.0,8.02471384058201e-05,0.9999197528615942,2.0,1.0,0.06497553487793817,0.9350244651220618
25,2.0,2.0,1.0,4.975322581157737e-05,0.9999502467741884,2.0,1.0,0.06425019955130484,0.9357498004486952
26,1.0,1.0,1.0,3.084700000322016e-05,0.9999691529999968,1.0,1.0,0.06357618454259417,0.9364238154574058
27,2.0,2.0,1.0,1.9125140002018703e-05,0.999980874859998,2.0,1.0,0.06292804817814512,0.9370719518218549
28,2.0,2.0,1.0,1.185758680122273e-05,0.9999881424131988,2.0,1.0,0.0623115203492719,0.9376884796507281
29,1.0,1.0,1.0,7.351703816715904e-06,0.9999926482961833,1.0,1.0,0.061721226499840465,0.9382787735001595
30,1.0,1.0,1.0,4.558056366343877e-06,0.9999954419436337,1.0,1.0,0.06115625890486698,0.938843741095133
31,2.0,2.0,1.0,2.8259949471642898e-06,0.9999971740050528,2.0,1.0,0.060614363814507244,0.9393856361854928
32,2.0,2.0,1.0,1.7521168672596232e-06,0.9999982478831327,2.0,1.0,0.0600940533743487,0.9399059466256513
33,2.0,2.0,1.0,1.086312457654337e-06,0.9999989136875423,2.0,1.0,0.059593787758290384,0.9404062122417096
34,1.0,1.0,1.0,6.735137237923183e-07,0.9999993264862762,2.0,0.0,-0.9408877507276736,0.9408877507276736
35,2.0,2.0,1.0,4.175785087712214e-07,0.9999995824214912,2.0,1.0,0.43864821562990275,0.5613517843700973
36,1.0,1.0,1.0,2.58898675387087e-07,0.9999997411013246,1.0,1.0,0.0,1.0
37,2.0,1.0,0.0,-0.9999998394828212,0.9999998394828212,1.0,0.0,-0.91141814383788,0.91141814383788
38,1.0,1.0,1.0,0.38000009952065084,0.6199999004793492,1.0,1.0,0.4349207508205144,0.5650792491794856
39,1.0,2.0,0.0,-0.7643999382971964,0.7643999382971964,1.0,1.0,0.0,1.0
40,1.0,1.0,1.0,0.5260720382557382,0.47392796174426177,1.0,1.0,0.09502578212452661,0.9049742178754734
41,1.0,1.0,1.0,0.3261646637185577,0.6738353362814423,1.0,1.0,0.0589159849172064,0.9410840150827936
42,1.0,1.0,1.0,0.20222209150550574,0.7977779084944943,1.0,1.0,0.07177795077962335,0.9282220492203767
43,1.0,1.0,1.0,0.1253776967334136,0.8746223032665864,1.0,1.0,0.06636975086193897,0.933630249138061
44,2.0,2.0,1.0,0.07773417197471644,0.9222658280252836,2.0,1.0,0.06780496634665312,0.9321950336533469
45,2.0,2.0,1.0,0.048195186624324204,0.9518048133756758,1.0,0.0,-0.9333008712114836,0.9333008712114836
46,2.0,2.0,1.0,0.029881015707081016,0.970118984292919,2.0,1.0,0.44655921907774476,0.5534407809222552
47,2.0,2.0,1.0,0.018526229738390243,0.9814737702616098,2.0,1.0,0.0,1.0
48,1.0,1.0,1.0,0.01148626243780193,0.9885137375621981,1.0,1.0,0.09737883474744324,0.9026211652525568
49,2.0,2.0,1.0,0.007121482711437199,0.9928785172885628,2.0,1.0,0.06037487754341497,0.939625122456585
50,2.0,2.0,1.0,0.004415319281091068,0.9955846807189089,1.0,0.0,-0.9263036978631349,0.9263036978631349
51,1.0,1.0,1.0,0.002737497954276469,0.9972625020457235,1.0,1.0,0.4481843087625992,0.5518156912374008
52,2.0,2.0,1.0,0.0016972487316514462,0.9983027512683486,2.0,1.0,0.0,1.0
53,1.0,1.0,1.0,0.00105229421362385,0.9989477057863761,1.0,1.0,0.10101544134089824,0.8989845586591018
54,1.0,1.0,1.0,0.0006524224124467848,0.9993475775875532,2.0,0.0,-0.9373704263686431,0.9373704263686431
55,1.0,1.0,1.0,0.00040450189571705764,0.9995954981042829,2.0,0.0,-0.5434817215064636,0.5434817215064636
56,1.0,1.0,1.0,0.00025079117534454465,0.9997492088246555,1.0,1.0,0.31320129853912393,0.6867987014608761
57,1.0,1.0,1.0,0.0001554905287136643,0.9998445094712863,1.0,1.0,0.0,1.0
58,2.0,2.0,1.0,9.640412780242968e-05,0.9999035958721976,2.0,1.0,0.10839970660469855,0.8916002933953014
59,1.0,1.0,1.0,5.9770559237559695e-05,0.9999402294407624,1.0,1.0,0.06720781809491316,0.9327921819050868
60,2.0,2.0,1.0,3.70577467272426e-05,0.9999629422532728,2.0,1.0,0.08217420425346855,0.9178257957465314
61,1.0,1.0,1.0,2.2975802970837123e-05,0.9999770241970292,1.0,1.0,0.07606830585951152,0.9239316941404885
62,2.0,2.0,1.0,1.4244997841972307e-05,0.999985755002158,2.0,1.0,0.07788489890056494,0.9221151010994351
63,2.0,2.0,1.0,8.83189866207612e-06,0.9999911681013379,2.0,1.0,0.07673576884295497,0.923264231157045
64,2.0,2.0,1.0,5.475777170471652e-06,0.9999945242228295,2.0,1.0,0.07670999667762435,0.9232900033223757
65,1.0,1.0,1.0,3.3949818456502356e-06,0.9999966050181543,1.0,1.0,0.07627118099029118,0.9237288190097088
66,1.0,1.0,1.0,2.104888744303146e-06,0.9999978951112557,1.0,1.0,0.07599626733424292,0.9240037326657571
67,1.0,1.0,1.0,1.305031021470171e-06,0.9999986949689785,1.0,1.0,0.0756681517059844,0.9243318482940156
68,1.0,1.0,1.0,8.091192332804198e-07,0.9999991908807667,1.0,1.0,0.07536815062138413,0.9246318493786159
69,1.0,1.0,1.0,5.01653924622758e-07,0.9999994983460754,1.0,1.0,0.07506542787920956,0.9249345721207904
70,2.0,2.0,1.0,3.1102543329719623e-07,0.9999996889745667,2.0,1.0,0.07477132113214835,0.9252286788678517
71,2.0,2.0,1.0,1.9283576868645014e-07,0.9999998071642313,2.0,1.0,0.07448132306794564,0.9255186769320544
72,2.0,2.0,1.0,1.195581765811582e-07,0.9999998804418234,2.0,1.0,0.07419689591525636,0.9258031040847436
73,2.0,2.0,1.0,7.412606950474299e-08,0.9999999258739305,2.0,1.0,0.07391726723648617,0.9260827327635138
74,2.0,1.0,0.0,-0.999999954041837,0.999999954041837,1.0,0.0,-0.9263574849527135,0.9263574849527135
75,2.0,2.0,1.0,0.3800000284940611,0.6199999715059389,1.0,0.0,-0.5466275932748159,0.5466275932748159
76,1.0,1.0,1.0,0.23560001766631788,0.7643999823336821,1.0,1.0,0.31370683531234644,0.6862931646876536
77,1.0,1.0,1.0,0.14607201095311706,0.8539279890468829,1.0,1.0,0.0,1.0
78,1.0,1.0,1.0,0.09056464679093257,0.9094353532090674,1.0,1.0,0.10729258237530759,0.8927074176246924
79,1.0,1.0,1.0,0.05615008101037822,0.9438499189896218,1.0,1.0,0.06652140107269067,0.9334785989273093
80,1.0,1.0,1.0,0.03481305022643455,0.9651869497735655,2.0,0.0,-0.9184951897985972,0.9184951897985972
81,1.0,1.0,1.0,0.021584091140389394,0.9784159088596106,1.0,1.0,0.4554990390237562,0.5445009609762438
82,1.0,1.0,1.0,0.013382136507041453,0.9866178634929585,2.0,0.0,-1.0,1.0
83,2.0,2.0,1.0,0.00829692463436571,0.9917030753656343,2.0,1.0,0.48939324407165274,0.5106067559283473
84,2.0,2.0,1.0,0.005144093273306782,0.9948559067266932,2.0,1.0,0.0,1.0
85,2.0,2.0,1.0,0.0031893378294501895,0.9968106621705498,2.0,1.0,0.11257685296492737,0.8874231470350726
86,1.0,1.0,1.0,0.001977389454259071,0.9980226105457409,1.0,1.0,0.06979764883825501,0.930202351161745
87,1.0,1.0,1.0,0.0012259814616406572,0.9987740185383593,1.0,1.0,0.08556203141642871,0.9144379685835713
88,2.0,2.0,1.0,0.0007601085062172164,0.9992398914937828,1.0,0.0,-0.9207298329014424,0.9207298329014424
89,2.0,2.0,1.0,0.0004712672738547141,0.9995287327261453,2.0,1.0,0.46129575450633453,0.5387042454936655
90,2.0,2.0,1.0,0.0002921857097899494,0.99970781429021,2.0,1.0,0.0,1.0
91,2.0,2.0,1.0,0.0001811551400697775,0.9998188448599302,2.0,1.0,0.1140388456795971,0.8859611543204029
92,1.0,1.0,1.0,0.00011231618684326428,0.9998876838131567,2.0,0.0,-0.9292959156786498,0.9292959156786498
93,2.0,2.0,1.0,6.963603584286826e-05,0.9999303639641571,2.0,1.0,0.46670532846158885,0.5332946715384111
94,1.0,1.0,1.0,4.317434222256278e-05,0.9999568256577774,1.0,1.0,0.0,1.0
95,1.0,1.0,1.0,2.6768092177942293e-05,0.9999732319078221,1.0,1.0,0.11609456016111441,0.8839054398388856
96,2.0,2.0,1.0,1.6596217150333104e-05,0.9999834037828497,2.0,1.0,0.0719786272998908,0.9280213727001092
97,2.0,2.0,1.0,1.028965463323317e-05,0.9999897103453668,2.0,1.0,0.08828787835559682,0.9117121216444032
98,2.0,2.0,1.0,6.379585872573479e-06,0.9999936204141274,1.0,0.0,-0.9181887378453057,0.9181887378453057
99,0.0,0.0,0.0,0.0,0.999996044656759,0.0,0.0,0.0,0.5360665064543682
