trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,2.0,2.0,1.0,0.99,0.01,2.0,1.0,0.010000000000000009,0.99
1,1.0,2.0,0.0,-0.3862,0.3862,2.0,0.0,-0.9938,0.9938
2,1.0,1.0,0.0,-0.239444,0.239444,2.0,0.0,-0.6142559999999999,0.6142559999999999
3,1.0,2.0,0.0,-0.14845528,0.14845528,2.0,0.0,-0.6326013866666667,0.6326013866666667
4,1.0,1.0,1.0,0.9079577264,0.0920422736,1.0,1.0,0.4327241802666667,0.5672758197333333
5,1.0,1.0,1.0,0.562933790368,0.43706620963200005,1.0,1.0,0.07597817021866671,0.9240218297813333
6,2.0,2.0,1.0,0.34901895002815997,0.65098104997184,2.0,1.0,0.1841357892866845,0.8158642107133155
7,2.0,2.0,0.0,-0.7836082509825408,0.7836082509825408,1.0,0.0,-0.8610886351996042,0.8610886351996042
8,1.0,1.0,0.0,-0.4858371156091753,0.4858371156091753,2.0,0.0,-0.47264980388593203,0.47264980388593203
9,2.0,1.0,0.0,-0.3012190116776887,0.3012190116776887,1.0,0.0,-0.5838994840766998,0.5838994840766998
10,1.0,1.0,1.0,0.8132442127598329,0.186755787240167,1.0,1.0,0.4763360869434574,0.5236639130565426
11,1.0,1.0,0.0,-0.4957885880889035,0.4957885880889035,2.0,0.0,-0.9063823569579164,0.9063823569579164
12,2.0,1.0,1.0,0.6926110753848798,0.3073889246151202,2.0,1.0,0.603966675638063,0.396033324361937
13,1.0,1.0,1.0,0.4294188667386255,0.5705811332613745,1.0,1.0,0.05652829676266835,0.9434717032373316
14,1.0,1.0,1.0,0.26623969737794784,0.7337603026220522,1.0,1.0,0.248161499539428,0.751838500460572
15,1.0,1.0,1.0,0.16506861237432768,0.8349313876256723,1.0,1.0,0.17390883229960508,0.8260911677003949
16,2.0,1.0,1.0,0.10234253967208318,0.8976574603279168,2.0,1.0,0.19623101023667644,0.8037689897633236
17,1.0,1.0,1.0,0.06345237459669162,0.9365476254033084,1.0,1.0,0.18386120872212763,0.8161387912778724
18,1.0,1.0,1.0,0.039340472249948855,0.9606595277500511,1.0,1.0,0.18441907863710405,0.815580921362896
19,1.0,1.0,1.0,0.024391092794968317,0.9756089072050317,1.0,1.0,0.1805298638949704,0.8194701361050296
20,1.0,1.0,1.0,0.015122477532880318,0.9848775224671197,1.0,1.0,0.17850380300287616,0.8214961969971238
21,1.0,1.0,1.0,0.009375936070385782,0.9906240639296142,1.0,1.0,0.17600697527139164,0.8239930247286084
22,1.0,1.0,1.0,0.005813080363639145,0.9941869196363609,1.0,1.0,0.17387252230294248,0.8261274776970575
23,1.0,2.0,0.0,-0.9963958901745438,0.9963958901745438,2.0,0.0,-0.8282243268996177,0.8282243268996177
24,2.0,1.0,1.0,0.3822345480917828,0.6177654519082172,2.0,1.0,0.5498194941942252,0.4501805058057748
25,2.0,1.0,1.0,0.23698541981690535,0.7630145801830946,2.0,1.0,0.03875185194743902,0.961248148052561
26,1.0,1.0,1.0,0.14693096028648134,0.8530690397135187,1.0,1.0,0.22492173262453297,0.775078267375467
27,2.0,1.0,1.0,0.0910971953776184,0.9089028046223816,2.0,1.0,0.15363178153242152,0.8463682184675785
28,1.0,1.0,0.0,-0.9435197388658766,0.9435197388658766,2.0,0.0,-0.822330546281052,0.822330546281052
29,2.0,1.0,1.0,0.41501776190315653,0.5849822380968435,2.0,1.0,0.5465220321852294,0.45347796781477057
30,1.0,1.0,1.0,0.257311012379957,0.742688987620043,1.0,1.0,0.03677423928760237,0.9632257607123976
31,1.0,1.0,1.0,0.1595328276755733,0.8404671723244267,1.0,1.0,0.22377909825868825,0.7762209017413118
32,1.0,1.0,1.0,0.09891035315885544,0.9010896468411446,1.0,1.0,0.15228055775813532,0.8477194422418647
33,2.0,1.0,1.0,0.06132441895849039,0.9386755810415096,2.0,1.0,0.17687315292597272,0.8231268470740273
34,1.0,1.0,1.0,0.03802113975426402,0.961978860245736,1.0,1.0,0.16582600758725063,0.8341739924127494
35,2.0,2.0,1.0,0.02357310664764367,0.9764268933523563,2.0,1.0,0.1681035857270543,0.8318964142729457
36,1.0,1.0,1.0,0.01461532612153904,0.985384673878461,1.0,1.0,0.16548772039828563,0.8345122796017144
37,2.0,2.0,1.0,0.009061502195354176,0.9909384978046458,2.0,1.0,0.16475527996439943,0.8352447200356006
38,1.0,1.0,1.0,0.005618131361119549,0.9943818686388805,1.0,1.0,0.16337873012529336,0.8366212698747066
39,2.0,1.0,1.0,0.003483241443894114,0.9965167585561059,2.0,1.0,0.1622965112080903,0.8377034887919097
40,1.0,1.0,0.0,-0.9978403903047857,0.9978403903047857,2.0,0.0,-0.8388443435395627,0.8388443435395627
